zone,forecast_hour,rank,patch_y,patch_x,attention,attention_norm
NH,1,7,0,0,0.015389717184007168,0.016295894009196107
NH,1,8,0,9,0.01514188852161169,0.016033472707586066
NH,2,1,4,0,0.02377277985215187,0.025106670787961145
NH,2,2,5,0,0.022899137809872627,0.024184008681196984
NH,2,3,2,0,0.022345565259456635,0.023599375168962263
NH,2,4,3,0,0.02203238196671009,0.023268619158256794
NH,2,5,4,1,0.01927396096289158,0.020355423121942183
NH,2,6,1,0,0.0172582920640707,0.018226655019307054
NH,2,7,0,9,0.015228180214762688,0.016082633572076028
NH,2,8,0,0,0.014770686626434326,0.015599470013535628
NH,3,1,4,0,0.023729046806693077,0.02506617866723021
NH,3,2,5,0,0.022615671157836914,0.023890064297136755
NH,3,3,2,0,0.022452758625149727,0.023717971642731598
NH,3,4,3,0,0.022292576730251312,0.023548763497563012
NH,3,5,4,1,0.018813321366906166,0.019873452083792726
NH,3,6,1,0,0.01714186556637287,0.018107809743758727
NH,3,7,6,0,0.01489949505776167,0.01573908165009075
NH,3,8,0,9,0.01482225488871336,0.015657488997279013
NH,4,1,4,0,0.02384667657315731,0.025233575808435684
NH,4,2,2,0,0.02299204096198082,0.024329235431400267
NH,4,3,3,0,0.02288607880473137,0.024217110619392326
NH,4,4,5,0,0.022521667182445526,0.023831505175874235
NH,4,5,4,1,0.01820784993469715,0.019266800563436753
NH,4,6,1,0,0.017684105783700943,0.01871259596818242
NH,4,7,6,0,0.015796838328242302,0.01671556689530462
NH,4,8,0,0,0.01505149807780981,0.01592687838960579
NH,5,1,4,0,0.02419237047433853,0.025679388439735232
NH,5,2,2,0,0.02376244217157364,0.025223033991143826
NH,5,3,3,0,0.0236508771777153,0.025104611498540062
NH,5,4,5,0,0.022614486515522003,0.024004517631425793
NH,5,5,1,0,0.018534358590841293,0.01967359892410753
NH,5,6,4,1,0.017731349915266037,0.018821232194586448
NH,5,7,6,0,0.016411513090133667,0.017420269748777684
NH,5,8,0,0,0.015769008547067642,0.016738272763274005
NH,6,1,4,0,0.024662667885422707,0.02630576895749754
NH,6,2,2,0,0.02445943094789982,0.026088991764253718
NH,6,3,3,0,0.02433684840798378,0.025958242407037563
NH,6,4,5,0,0.022653639316558838,0.024162892866108326
NH,6,5,1,0,0.019223012030124664,0.02050370687716813
NH,6,6,4,1,0.017544100061058998,0.018712940745807167
NH,6,7,6,0,0.016555234789848328,0.017658194297636553
NH,6,8,0,0,0.016268357634544373,0.01735220452387528
NH,7,1,4,0,0.025000525638461113,0.026831753843167643
NH,7,2,2,0,0.024807119742035866,0.02662418143130139
NH,7,3,3,0,0.024678196758031845,0.026485815149666064
NH,7,4,5,0,0.022399848327040672,0.024040583191211717
NH,7,5,1,0,0.019452055916190147,0.02087687209599302
