zone,forecast_hour,max_patch_y,max_patch_x,center_of_mass_y,center_of_mass_x,entropy
WCMA,23,4,0,3.779163118233416,3.819871300897548,4.475023969484899
WCMA,24,4,0,3.7570223288099176,3.907160791759496,4.486055450505596
NEMA_BOST,1,4,0,3.8103518054766154,4.076903813180177,4.5163105763527565
NEMA_BOST,2,4,0,3.805192171613053,4.09827715464104,4.51555062140585
NEMA_BOST,3,4,0,3.825127066796694,4.087735524140802,4.515528795886571
NEMA_BOST,4,4,0,3.8593673894926424,4.058009639873596,4.515408636918203
NEMA_BOST,5,4,0,3.893406150501896,4.024195149547467,4.514418726248464
NEMA_BOST,6,4,0,3.925473513563135,3.9973039250448115,4.513704097369946
NEMA_BOST,7,4,0,3.9632821007719286,3.98401421602917,4.514837670972779
NEMA_BOST,8,4,0,4.010051645581447,3.981998087678076,4.517694748531294
NEMA_BOST,9,4,0,4.058673789443205,3.980308464314711,4.520254024040101
NEMA_BOST,10,4,0,4.094068793214165,3.9665551820440674,4.519726326641437
NEMA_BOST,11,4,0,4.100605509407191,3.9327752513690295,4.5139143897194325
NEMA_BOST,12,4,0,4.073767064047005,3.8782558965605447,4.5027657742133105
NEMA_BOST,13,4,0,4.029865650531936,3.813398695001689,4.489868732719352
NEMA_BOST,14,4,0,3.997132859624839,3.758841959193165,4.480809303690336
NEMA_BOST,15,4,0,3.9875369154802427,3.735012788363581,4.478148130922328
NEMA_BOST,16,4,0,3.9874667668948653,3.744324454937768,4.479484852713973
NEMA_BOST,17,4,0,3.97790416386492,3.7687235355298148,4.480898811710445
NEMA_BOST,18,4,0,3.950356041729006,3.78939396417947,4.480455676113425
NEMA_BOST,19,4,0,3.908451514542921,3.796415795832899,4.477981354983731
NEMA_BOST,20,4,0,3.864009894229002,3.7885560036484875,4.474240945084985
NEMA_BOST,21,4,0,3.8281905774641345,3.775507528202158,4.470867053455499
NEMA_BOST,22,4,0,3.8022784710332003,3.7786952509393337,4.470364392221266
NEMA_BOST,23,4,0,3.779163118233416,3.819871300897548,4.475023969484899
NEMA_BOST,24,4,0,3.7570223288099176,3.907160791759496,4.486055450505596
